ht,lat,lon,0
120.0,-20.0,200.0,4.343679111519701e-09
120.0,-20.0,220.0,1.0732117569536223e-09
120.0,-20.0,240.0,6.713016095016735e-10
120.0,-20.0,260.0,5.132511603677396e-10
120.0,-20.0,280.0,5.156324041826962e-10
120.0,-20.0,300.0,5.889127976747427e-10
120.0,-20.0,320.0,6.506919836135262e-10
120.0,-20.0,340.0,1.79446859882042e-09
120.0,-10.0,0.0,1.9067621400077087e-08
120.0,-10.0,20.0,7.060256417169492e-08
120.0,-10.0,40.0,1.1734892730709545e-07
120.0,-10.0,60.0,1.5594022959032242e-07
120.0,-10.0,80.0,1.9097044053353274e-07
120.0,-10.0,100.0,2.387668755915754e-07
120.0,-10.0,120.0,2.8134821388386474e-07
120.0,-10.0,140.0,2.4725045463778616e-07
120.0,-10.0,160.0,1.4301830474671133e-07
120.0,-10.0,180.0,3.515983416278511e-08
120.0,-10.0,200.0,1.2688968168881175e-09
120.0,-10.0,220.0,1.019623474238475e-09
120.0,-10.0,240.0,7.287318450642381e-10
120.0,-10.0,260.0,5.719517682924952e-10
120.0,-10.0,280.0,5.743736145930183e-10
120.0,-10.0,300.0,6.788277374661458e-10
120.0,-10.0,320.0,7.81122579166948e-10
120.0,-10.0,340.0,9.468184995103062e-10
120.0,0.0,0.0,1.2080971629868231e-08
120.0,0.0,20.0,7.861117161669316e-08
120.0,0.0,40.0,1.5440226756757698e-07
120.0,0.0,60.0,1.5881508985943808e-07
120.0,0.0,80.0,1.5808615025212112e-07
120.0,0.0,100.0,1.7472361432363718e-07
120.0,0.0,120.0,2.1978491712949222e-07
120.0,0.0,140.0,2.314725921116796e-07
120.0,0.0,160.0,1.370435162789622e-07
120.0,0.0,180.0,1.9233517074990034e-08
120.0,0.0,200.0,1.1920360556686393e-09
120.0,0.0,220.0,9.732545940187812e-10
120.0,0.0,240.0,7.437647982062048e-10
120.0,0.0,260.0,6.072560898038163e-10
120.0,0.0,280.0,5.896402312688059e-10
120.0,0.0,300.0,7.181801511431891e-10
120.0,0.0,320.0,8.732123786929208e-10
120.0,0.0,340.0,1.0739396203766398e-09
120.0,10.0,0.0,6.030585703100759e-09
120.0,10.0,20.0,6.828439390827567e-08
120.0,10.0,40.0,1.610842114899796e-07
120.0,10.0,60.0,2.2209357078722036e-07
120.0,10.0,80.0,1.5605129699822686e-07
120.0,10.0,100.0,1.4545921773231626e-07
120.0,10.0,120.0,2.200749083536662e-07
120.0,10.0,140.0,1.8647378084209308e-07
120.0,10.0,160.0,8.606856307713454e-08
120.0,10.0,180.0,8.492123690028997e-09
120.0,10.0,200.0,1.0944361707909994e-09
120.0,10.0,220.0,8.523998997481928e-10
