,Altitude,Latitude,Longitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
1760,100.0,-40.00000274241333,140.0,2008.0,9.742063458785461,-71.27948145058397,18826.12298981368,58657.09622927092,18554.64102798821,3185.6244521424464,-55553.86603308862,0.18427336923968934,10.291118270481908,-1.049601587716082,-20.912690092716954,10.313073823405666,0.7500941075296191,25.55096270334492,5.865709622927093e-05
1761,120.0,-40.000002733951476,140.0,2008.0,9.719691884515248,-71.27378239183611,18645.26235117598,58076.537314655805,18377.61898978238,3147.84504233778,-55002.167032912694,0.18090834592904867,10.095965653010166,-1.0465765759162908,-20.83801422438153,10.116309983542244,0.7405429067273079,25.408113368994975,5.8076537314655806e-05
1762,140.0,-40.00000272554169,140.0,2008.0,9.697548557689112,-71.26805573593681,18466.73612625702,57503.50702664064,18202.858971382237,3110.6700925645155,-54457.625519353154,0.17758864108866848,9.905330160455499,-1.0436170749807225,-20.76231737412604,9.924110463677527,0.7312425388360231,25.26567180627364,5.7503507026640645e-05
1763,160.0,-40.000002717183435,140.0,2008.0,9.675630463590563,-71.2623022134887,18290.506916576654,56937.886862290245,18030.325247439614,3074.0876267406775,-53920.129052865086,0.17431433709247957,9.719090519602439,-1.0407217374246167,-20.68565277984879,9.736353465774307,0.7221794181616465,25.123654117848783,5.693788686229025e-05
1764,180.0,-40.00000270887634,140.0,2008.0,9.653934644650096,-71.25652254128303,18116.5380231245,56379.560448191325,17859.98274655582,3038.085949416876,-53389.56720547512,0.17108550271849068,9.537129210090097,-1.0378892550531922,-20.608071994608906,9.552920916239222,0.7133406682357353,24.98207587551258,5.637956044819133e-05
1765,200.0,-40.00000270061986,140.0,2008.0,9.632458198855062,-71.25071742260879,17944.793431961247,55828.413499713286,17691.79703831326,3002.6536381823535,-52865.83152263103,0.16790219316229224,9.35933233021664,-1.0351183574392733,-20.529624929463044,9.373698334334911,0.7047140887274216,24.840952120554043,5.582841349971329e-05
1766,220.0,-40.00000269241352,140.0,2008.0,9.611198278218962,-71.24488754755146,17775.237800121853,55284.33378099493,17525.734320557403,2967.7795363060654,-52348.81548571635,0.16476445008935697,9.185589468289841,-1.0324078104705856,-20.45035989576204,9.198574706005408,0.6962881237478115,24.700297365422617,5.528433378099493e-05
1767,240.0,-40.00000268425694,140.0,2008.0,9.590152087307846,-71.23903359328321,17607.836441814536,54747.21106565148,17361.7614069252,2933.452745604493,-51838.4144752258,0.1616723017222968,9.015793579260567,-1.0297564149631953,-20.370323646866467,9.027442362855842,0.6880518314964063,24.560125596550986,5.4747211065651484e-05
1768,260.0,-40.00000267614962,140.0,2008.0,9.569316881820777,-71.23315622434308,17442.555314910995,54216.93709819308,17199.845714617353,2899.662619528143,-51334.52573459401,0.15862576295956804,8.849840866390785,-1.0271630053377803,-20.28956141924453,8.860196866042246,0.6799948552002661,24.420450278214908,5.421693709819308e-05
1769,280.0,-40.00000266809113,140.0,2008.0,9.548689967222458,-71.22725609290936,17279.361007721796,53693.40555615076,17039.955252410316,2866.3987564591494,-50837.04833467522,0.15562483552219586,8.687630667720166,-1.024626448355554,-20.208116972921353,8.696736894839818,0.6721073952986254,24.281284357317933,5.3693405556150764e-05
1770,300.0,-40.00000266008104,140.0,2008.0,9.52826869742526,-71.2213338390633,17118.220726052085,53176.512012899686,16882.05860890504,2833.6509932125296,-50345.883138864745,0.15266950812560934,8.52906534710846,-1.0221456419108859,-20.126032631253572,8.536964139671145,0.6643801828255899,24.142640268998527,5.317651201289969e-05
1771,320.0,-40.000002652118894,140.0,2008.0,9.508050473518834,-71.21539009104492,16959.10228053213,52666.15390117292,16726.124941008726,2801.409398734142,-49860.932768857034,0.1497597566737063,8.374050189641956,-1.0197195138778028,-20.043349320006254,8.38078319938697,0.6568044539458804,24.00452994296427,5.266615390117292e-05
1772,340.0,-40.000002644204244,140.0,2008.0,9.488032742544839,-71.20942546550178,16801.974074217567,52162.230477258534,16572.123962646052,2769.664267988433,-49382.101571034415,0.14689554447252443,8.222493301204027,-1.017347021007664,-19.960106605714554,8.228101482603808,0.6493719255995699,23.866964810466953,5.2162230477258534e-05
