ht,lat,lon,0
100.0,-60.0,280.0,1.63433966020143e-05
100.0,-60.0,300.0,2.585371252154849e-05
100.0,-60.0,320.0,5.801410651321289e-05
100.0,-60.0,340.0,0.0001053635227242733
100.0,-50.0,0.0,0.00014938393611052834
100.0,-50.0,20.0,0.00020811300326489002
100.0,-50.0,40.0,0.00027306975124500763
100.0,-50.0,60.0,0.00033858190697128054
100.0,-50.0,80.0,0.0004111691031590948
100.0,-50.0,100.0,0.0004908224824987216
100.0,-50.0,120.0,0.0005382270825761752
100.0,-50.0,140.0,0.000512204876058203
100.0,-50.0,160.0,0.0004331330876086723
100.0,-50.0,180.0,0.0003412790922416717
100.0,-50.0,200.0,0.00019041359312053745
100.0,-50.0,220.0,4.4595583615845784e-05
100.0,-50.0,240.0,9.47147574675991e-06
100.0,-50.0,260.0,5.2451378565063555e-06
100.0,-50.0,280.0,4.5824787539172554e-06
100.0,-50.0,300.0,5.947718577351043e-06
100.0,-50.0,320.0,2.0616560530535447e-05
100.0,-50.0,340.0,8.066957693754367e-05
100.0,-40.0,0.0,0.00014693883836435645
100.0,-40.0,20.0,0.00022746866771593995
100.0,-40.0,40.0,0.0003135184624428782
100.0,-40.0,60.0,0.00039653241315376104
100.0,-40.0,80.0,0.0004881321593245732
100.0,-40.0,100.0,0.0005946657987927666
100.0,-40.0,120.0,0.0006507977518313722
100.0,-40.0,140.0,0.0005868440435513406
100.0,-40.0,160.0,0.00046100783654751354
100.0,-40.0,180.0,0.0003319186484723676
100.0,-40.0,200.0,0.00013037327271715851
100.0,-40.0,220.0,1.4928349960730473e-05
100.0,-40.0,240.0,6.695983653123426e-06
100.0,-40.0,260.0,5.359776103217875e-06
100.0,-40.0,280.0,4.708097034282215e-06
100.0,-40.0,300.0,4.5101525199869355e-06
100.0,-40.0,320.0,6.743573370507032e-06
100.0,-40.0,340.0,5.088153719071399e-05
100.0,-30.0,0.0,0.00014180876905704433
100.0,-30.0,20.0,0.00024850836848911215
100.0,-30.0,40.0,0.0003576655884305031
100.0,-30.0,60.0,0.0004597886332482476
100.0,-30.0,80.0,0.000560666546066979
100.0,-30.0,100.0,0.0006727956472687693
100.0,-30.0,120.0,0.0007196954617071049
100.0,-30.0,140.0,0.0006185377592292804
100.0,-30.0,160.0,0.0004527866093747522
100.0,-30.0,180.0,0.0002835072285962191
100.0,-30.0,200.0,6.310736841018489e-05
100.0,-30.0,220.0,8.991621152959415e-06
100.0,-30.0,240.0,6.889803638673626e-06
100.0,-30.0,260.0,5.547263115231735e-06
100.0,-30.0,280.0,4.964448911896823e-06
100.0,-30.0,300.0,4.8581605231219215e-06
100.0,-30.0,320.0,4.977780335845803e-06
100.0,-30.0,340.0,2.5446346116811356e-05
100.0,-20.0,0.0,0.00013373803098826667
100.0,-20.0,20.0,0.00027429126866416694
100.0,-20.0,40.0,0.00040699693797417263
100.0,-20.0,60.0,0.0005268098770747646
100.0,-20.0,80.0,0.0006232493797185724
100.0,-20.0,100.0,0.0007145168313300751
100.0,-20.0,120.0,0.0007407667347016887
100.0,-20.0,140.0,0.0006226250591725222
100.0,-20.0,160.0,0.00043172971625939213
100.0,-20.0,180.0,0.00022635224498375822
100.0,-20.0,200.0,2.5714085545518577e-05
100.0,-20.0,220.0,8.784794520658941e-06
100.0,-20.0,240.0,7.105761176812005e-06
100.0,-20.0,260.0,5.8641288461511074e-06
100.0,-20.0,280.0,5.3781320998565476e-06
100.0,-20.0,300.0,5.395905937406832e-06
100.0,-20.0,320.0,5.57521672243184e-06
100.0,-20.0,340.0,1.2578432694865605e-05
100.0,-10.0,0.0,0.00010129291992609224
100.0,-10.0,20.0,0.00028146932639014805
100.0,-10.0,40.0,0.00043216454808660645
100.0,-10.0,60.0,0.000560742889870424
100.0,-10.0,80.0,0.0006379372036537251
100.0,-10.0,100.0,0.0006902557393285163
100.0,-10.0,120.0,0.0006961086967580819
100.0,-10.0,140.0,0.000580330425883012
100.0,-10.0,160.0,0.00038240502197494085
100.0,-10.0,180.0,0.00015209458693314894
100.0,-10.0,200.0,8.839705905112658e-06
100.0,-10.0,220.0,8.520244269364899e-06
100.0,-10.0,240.0,7.382248489922617e-06
100.0,-10.0,260.0,6.338640596851514e-06
100.0,-10.0,280.0,5.961225665343631e-06
100.0,-10.0,300.0,6.1053602064833076e-06
100.0,-10.0,320.0,6.368359067232509e-06
100.0,-10.0,340.0,6.8320382576128615e-06
100.0,0.0,0.0,6.881173426857674e-05
100.0,0.0,20.0,0.00027814539397184667
100.0,0.0,40.0,0.00042535367433518844
100.0,0.0,60.0,0.0005406876796497116
100.0,0.0,80.0,0.0005905385252702464
100.0,0.0,100.0,0.0006113319784000123
100.0,0.0,120.0,0.0006082865167245663
100.0,0.0,140.0,0.0005129259405977973
100.0,0.0,160.0,0.0003354090247251214
100.0,0.0,180.0,9.749637482175307e-05
100.0,0.0,200.0,8.55371762647724e-06
100.0,0.0,220.0,8.289031680287916e-06
100.0,0.0,240.0,7.562941331351598e-06
100.0,0.0,260.0,6.807285755745133e-06
100.0,0.0,280.0,6.545314226103576e-06
100.0,0.0,300.0,6.771301210274103e-06
