,Latitude,Longitude,Altitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
50,-25.000002086276112,55.0,250.0,2000.0,-23.077382799121562,-56.946452631696495,17911.301214824223,32839.30884870523,16477.972595082734,-7020.764229331882,-27524.63432005021,2.2930905520753684,33.80134347618413,1.1291531068023803,78.54828755394891,26.413353412348016,-24.24059906238406,-71.71922457169156,3.283930884870523e-05
51,-25.000002084696035,55.0,255.0,2000.0,-23.047350821563246,-56.9356958444053,17879.062215074395,32770.7465850958,16451.984577992163,-6999.504920778964,-27463.811935965252,2.2871312235872567,33.62105786786689,1.1270669662585755,78.12802185049324,26.280712611014195,-24.107863154752923,-71.3375340782705,3.277074658509581e-05
52,-25.000002083118332,55.0,260.0,2000.0,-23.017436590477715,-56.92496175320799,17846.889195689848,32702.365801605425,16426.025196356866,-6978.3343436582645,-27403.161771204086,2.281166037830573,33.44189015341936,1.124979841417483,77.71032105955364,26.148870646612245,-23.975879017179242,-70.95814906404424,3.270236580160543e-05
53,-25.000002081543045,55.0,265.0,2000.0,-22.98763945744561,-56.91425032809552,17814.78202899581,32634.165942642278,16400.0946055496,-6957.252019990006,-27342.683263192754,2.2751952322892266,33.26383234067314,1.1228917688544944,77.29516716009199,26.01782184761653,-23.844641877317734,-70.58105345741457,3.263416594264228e-05
54,-25.00000207997013,55.0,270.0,2000.0,-22.957958778543468,-56.90356153869999,17782.740587581226,32566.146454421196,16374.192958614458,-6936.257474983853,-27282.375851190114,2.2692190410925943,33.08687650174342,1.120802784870832,76.88254227469073,25.887560588939326,-23.714146997276448,-70.20623131465341,3.2566146454421195e-05
55,-25.000002078399575,55.0,275.0,2000.0,-22.92839391430724,-56.89289535430191,17750.764744294782,32498.30678495794,16348.320406290619,-6915.350237013327,-27222.23897628453,2.2632376950597717,32.911014772463936,1.1187129254938537,76.47242866827786,25.758081291500158,-23.584389673332268,-69.83366681875899,3.249830678495794e-05
56,-25.000002076831407,55.0,280.0,2000.0,-22.898944229696134,-56.88225174383739,17718.85437224109,32430.646384063522,16322.477097035908,-6894.529837590482,-27162.27208139049,2.2572514217431987,32.736239351826995,1.1166222264773351,76.06480874686274,25.629378421799363,-23.455365235648955,-69.46334427832183,3.243064638406352e-05
57,-25.0000020752656,55.0,285.0,2000.0,-22.869609094056667,-56.871630675905124,17687.00934477691,32363.16470333846,16296.663177050077,-6873.7958113407685,-27102.474611245125,2.2512604454717193,32.56254250142875,1.1145307233018613,75.65966505628562,25.501446491496267,-23.32706904799799,-69.09524812640328,3.236316470333847e-05
58,-25.000002073702163,55.0,290.0,2000.0,-22.840387881087082,-56.86103211877339,17655.229535507537,32295.8611961672,16270.878790297926,-6853.147695978161,-27042.846012404843,2.245264987393037,32.3899165449196,1.1124384511751937,75.25698028097817,25.374280056991672,-23.199496507481932,-68.72936291942413,3.22958611961672e-05
59,-25.000002072141058,55.0,295.0,2000.0,-22.8112799688023,-56.85045604038689,17623.514818283213,32228.735317712424,16245.124078532102,-6832.585032280574,-26983.385733241783,2.2392652655155834,32.21835386745998,1.1103454450327102,74.85673724273722,25.247873719014855,-23.072643044260555,-68.36567333606524,3.2228735317712424e-05
