,Latitude,Longitude,Altitude,Year,Declination,Inclination,Horizontal_intensity,Total_intensity,North_component,East_component,Vertical_component,DeclinationSV,InclinationSV,HorizontalSV,TotalSV,NorthSV,EastSV,VerticalSV,B(T)
20,-25.000002102209606,-55.0,200.0,2008.0,-13.621396618392021,-29.272649714464908,18298.392056571964,20977.110763291512,17783.715397251206,-4309.364051178118,-10257.096281081924,8.770879968797223,-66.26164521889012,14.403904762260176,-27.430118956819616,-75.27532791538286,-30.842321241723027,-64.38978827157167,2.0977110763291513e-05
21,-25.000002099003467,-55.0,210.0,2008.0,-13.583074783884312,-29.26242117520194,18231.025080221014,20897.790970214854,17721.110953472904,-4281.647118849269,-10215.057119720179,8.734582912696188,-65.90772777952753,14.375289046571751,-27.31497415836296,-74.82709966816283,-30.611234653264553,-64.00842397899994,2.0897790970214856e-05
22,-25.00000209580709,-55.0,220.0,2008.0,-13.54501293462213,-29.25228139483636,18163.958517963463,20818.850096158974,17658.75017327021,-4254.16635315625,-10173.255638390352,8.698549822583226,-65.55602584439278,14.346839824659334,-27.199982740710073,-74.382308275876,-30.382304242513367,-63.630231432772064,2.0818850096158976e-05
23,-25.000002092620434,-55.0,230.0,2008.0,-13.507208562617677,-29.242229410340773,18097.19098565357,20740.286016985094,17596.632495376154,-4226.919255662801,-10131.69001179598,8.66277805145717,-65.20652601529302,14.318555702073812,-27.08515481681776,-73.94092151960353,-30.15550591515248,-63.25517578709541,2.0740286016985095e-05
24,-25.00000208944344,-55.0,240.0,2008.0,-13.469659191111827,-29.232264270906832,18030.721103184427,20662.096622105975,17534.75734853893,-4199.903359445341,-10090.35843369416,8.62726498565692,-64.8592149146173,14.29043529915457,-26.9705001825451,-73.50290753707745,-29.930815891063602,-62.88322268161851,2.0662096622105976e-05
25,-25.000002086276112,-55.0,250.0,2008.0,-13.432362374096646,-29.222385037777045,17964.54749453722,20584.279814382215,17473.12415184567,-4173.116228631907,-10049.259116636393,8.59200804436163,-64.5140791876416,14.26247725085314,-26.856028324798828,-73.06823481816286,-29.708210699629415,-62.514338233173845,2.0584279814382217e-05
26,-25.000002083118332,-55.0,260.0,2008.0,-13.395315695846476,-29.21259078407852,17898.668787829007,20506.833510019787,17411.732315038607,-4146.55545794875,-10008.390291713557,8.55700467909988,-64.17110550474426,14.23468020655929,-26.74174842947095,-72.63687220040609,-29.48766717511607,-62.148489027686516,2.050683351001979e-05
27,-25.00000207997013,-55.0,270.0,2008.0,-13.358516770457632,-29.202880594659135,17833.08361535885,20429.755638468756,17350.581238823692,-4120.218672274518,-9967.750208305066,8.522252373266603,-63.83028056353054,14.20704282992841,-26.627669389173423,-72.2087888646426,-29.269162452132672,-61.785642112243366,2.042975563846876e-05
28,-25.000002076831407,-55.0,280.0,2008.0,-13.321963241396144,-29.193253565925634,17767.790613652276,20353.044142322997,17289.67031517179,-4094.1035262017162,-9927.33713383194,8.487748641648922,-63.49159109087097,14.1795637987116,-26.513799810773378,-71.78395433066697,-29.052673961168086,-61.425764987320726,2.0353044142323e-05
29,-25.000002073702163,-55.0,290.0,2008.0,-13.285652781053992,-29.18370880568493,17702.788423504022,20276.69697722099,17228.998927612505,-4068.2077036055007,-9887.149353514124,8.4534910299595,-63.15502384485651,14.152241804587062,-26.400148022737753,-71.36233845296297,-28.83817942420197,-61.06882559916545,2.027669697722099e-05
30,-25.000002070582298,-55.0,300.0,2008.0,-13.249583090313175,-29.17424543298652,17638.07569001946,20200.712111747755,17168.56645152119,-4042.528917219592,-9847.185170131457,8.419477114378289,-62.82056561667279,14.125075552994023,-26.286722082289156,-70.94391141649324,-28.625656850390325,-60.71479233232805,2.0200712111747756e-05
31,-25.00000206747184,-55.0,310.0,2008.0,-13.213751898117547,-29.164862577968023,17573.6510626543,20125.087527337757,17108.372254398873,-4017.064908219117,-9807.442903788693,8.385704501101687,-62.488203232395435,14.098063762968016,-26.173529782379426,-70.52864373254644,-28.41508453182243,-60.36363400234142,2.012508752733776e-05
32,-25.00000206437072,-55.0,320.0,2008.0,-13.178156961052423,-29.15555938170214,17509.513195252897,20049.821218178826,17048.415696145577,-3991.8134458103636,-9767.920891684089,8.352170825899567,-62.15792355471119,14.071205166978553,-26.060578658487078,-70.11650623464391,-28.20644103934919,-60.01531984854481,2.0049821218178828e-05
33,-25.00000206127885,-55.0,330.0,2008.0,-13.142796062931573,-29.146334996046505,17445.66074608507,19974.911191117124,16988.69612932703,-3966.772326827226,-9728.617487881958,8.31887375367972,-61.82971348456392,14.044498510768419,-25.947875995239077,-69.70747007450086,-27.999705218481072,-59.66981952704836,1.9974911191117126e-05
34,-25.00000205819626,-55.0,340.0,2008.0,-13.10766701439164,-29.13718858349506,17382.092377881523,19900.3554655631,16929.21289943499,-3941.9393753342847,-9689.531063088672,8.28581097805965,-61.503559962731714,14.017942553194967,-25.835428832867223,-69.30150671804564,-27.794856185353904,-59.327103103834595,1.99003554655631e-05
35,-25.00000205512285,-55.0,350.0,2008.0,-13.072767652493638,-29.128119317031846,17318.806757867875,19826.152073398407,16869.965345141354,-3917.312442236345,-9650.66000443234,8.2529802209455,-61.17944997133384,13.991536066073218,-25.72324397349903,-68.89858794149242,-27.59187332276202,-58.987141047995266,1.982615207339841e-05
36,-25.000002052058633,-55.0,360.0,2008.0,-13.0380958403317,-29.119126379986962,17255.802557797186,19752.29905888366,16810.952798545983,-3892.889404894368,-9612.002715245997,8.220379232118253,-60.85737053527288,13.965277834020863,-25.611327987289524,-68.4986858274697,-27.390736276257027,-58.649904225098894,1.9752299058883658e-05
37,-25.000002049003527,-55.0,370.0,2008.0,-13.00364946664843,-29.110208965894035,17193.07845398152,19678.79447856746,16752.17458541896,-3868.668166747657,-9573.557614854231,8.188005788826755,-60.537308723612284,13.939166654305323,-25.499687218398012,-68.10177276120193,-27.191424950311408,-58.31536389068876,1.967879447856746e-05
38,-25.0000020459575,-55.0,380.0,2008.0,-12.969426445457255,-29.10136627835038,17130.633127321715,19605.636401195876,16693.630025436527,-3844.6466569421245,-9535.323138363197,8.155857695387548,-60.2192516508907,13.91320133669216,-25.38832779081247,-67.7078214267425,-26.99391950454473,-57.98349168390354,1.9605636401195877e-05
